Country/Economy,Level,Policy type,Key policy measures and targets,Year announced,Category,Source
Argentina,National,Legislation,Import tariffs lifted on some low-cost electric and hybrid vehicles. Up to 50 000 imports of low-cost EVs and hybrids will be exempt from tariffs for 1 year.,2025,Taxation,Government of Argentina
Italy,National,Proposal,"Vehicle tax of car companies increases to 50% for ICEVs, while is reduced to 10% for BEVs and 20% for PHEVs",2025,"LDV, Taxation",Transport and Environment
Korea,National,Legislation,Additional subsidies for electric trucks.,2025,M/HDV,Government of Korea
Argentina,National,Legislation,The Sustainable Mobility Programme (Programa de Movilidad Sustentable) promotes micromobility and low-emissions transport for individuals and businesses; supports CNG and electric mobility; and provides financial incentives for vehicle and infrastructure investments.,2024,Multiple,Government of Argentina
Argentina,National,Proposal,Bill on the Promotion of Domestic Production of Electric and Hybrid Vehicles.,2024,Manufacturing,Government of Argentina
Armenia,National,Legislation,Armenia established a duty-free import quota of 8 000 EVs for 2025.,2024,"Taxation, Multiple",Government of Armenia
Australia,National,Legislation,"New Vehicle Efficiency Standard will reduce CO2 from new passenger vehicles by 60% between 2025 and 2029, and by 50% for light commercial vehicles.",2024,LDV,Government of Australia
Australia,Subnational,Objective,Tasmania: Transition the Tasmanian Government fleet to 100% EVs by 2030.,2024,LDV,Tasmania Government
Armenia,National,Announced target,"Between 200 000 and 400 000 EVs deployed, as well as 10% of ICEs replaced with hybrids by 2050.",2023,LDV,Government of Armenia
Australia,Subnational,Objective,New South Wales: Increase EV sales to 52% by 2030–31 and help New South Wales achieve net zero emissions by 2050.,2023,LDV,New South Wales Government
Australia,National,Objective,"National Electric Vehicle Strategy which includes details of state-level targets and incentives, with aim to increase the supply of affordable and accessible EVs, establish the resources, systems and infrastructure to enable rapid EV uptake, and encourage increased EV demand",2023,Multiple,Government of Australia
Australia,National,Objective,"National Battery Strategy that aims to support the development of the battery manufacturing industry in Australia by 2035, making Australia a globally competitive producer of batteries and battery materials.",2023,Manufacturing,Government of Australia
Austria,National,Legislation,"EVs are exempt from standard registration tax, consumption tax, motor-related insurance tax, and benefit-in-kind tax. Company vehicle EVs are tax deductible and VAT exempt.",2023,"Taxation, LDV",Government of Austria
Angola,National,Legislation,50% reduction of both import duty and vehicle tax for EVs.,2022,"Multiple, Taxation",Government of Angola
Argentina,National,Objective,"National Sustainable Transportation plan promotes electromobility and EV manufacturing, among other things.",2022,"Multiple, Manufacturing",Government of Argentina
Armenia,Multi-national,Objective,Signatory to COP26 ZEV Declaration to work towards all sales of new cars and vans being zero emission globally by 2040.,2022,LDV,Accelerating to Zero Coalition
